,Year,Box Office ($B)
46,1977,0.024479874118039015
45,1978,0.03059461111239689
44,1979,0.011510458438986963
43,1980,0.007090177283843595
42,1981,0.014636489233413244
41,1982,0.26487772236070034
40,1983,0.776741567436015
39,1984,0.5936424034927583
38,1985,0.816388010110967
37,1986,1.5276640309531424
36,1987,0.9039224122407148
35,1988,0.8679507581762489
34,1989,0.8294851023307601
33,1990,0.7628323970026247
32,1991,1.1623304930548608
31,1992,1.8077995111040437
30,1993,1.9870599752799167
29,1994,2.404589359148406
28,1995,2.3565930607121124
27,1996,2.521396792112787
26,1997,3.364655713202982
25,1998,4.502884754652555
24,1999,4.354281090880505
23,2000,3.4650537047217504
22,2001,4.3353701069095845
21,2002,6.566901475457692
20,2003,5.859060213737395
19,2004,5.638823038386401
18,2005,4.8391483082488405
17,2006,5.387366821166856
16,2007,6.222165321981699
15,2008,5.516786700426478
14,2009,11.228597639548296
13,2010,8.611693900913545
12,2011,6.959103527429385
11,2012,8.627639357090128
10,2013,9.440016726479737
9,2014,8.98851022093941
8,2015,11.059990522947498
7,2016,10.391874555041184
6,2017,9.776974405993826
5,2018,10.562359885391002
4,2019,10.580734989804794
3,2020,2.0395387981816047
2,2021,3.930136883846035
1,2022,6.919723466666667
0,2023,8.905466209
